股票代號,CB名稱,CB代號,進度狀態,主辦券商,發行量(億),轉換價格,掛牌日/進度日,備註
4566,時碩工業四,45664,董事會決議,台新證,10,未定,2026/08/10,依票面金額之100%發行
4906,正文七,49067,董事會決議,凱基證,12,未定,2026/08/10,暫定依票面金額之100.5%~101%發行
4906,正文八,49068,董事會決議,凱基證,8,未定,2026/08/10,暫定底標以不低於面額之101%發行
7740,熙特爾一創,77401,董事會決議,富邦證,12,未定,2026/08/10,依票面金額100%~100.5%發行
6669,緯穎一,66691,董事會決議,未定,150,未定,2026/08/07,以票面金額之100%~100.5%發行
4540,全球傳動三,45403,董事會決議,未定,3,未定,2026/08/07,暫定底標以面額之100%~100.5%為限
3413,京鼎三,34133,董事會決議,福邦證,35,未定,2026/08/07,依票面金額之100%~101%發行
3289,宜特六,32896,董事會決議,未定,12,未定,2026/08/06,依票面金額之100.5%發行
6922,宸曜一,69221,董事會決議,凱基證,5,未定,2026/08/06,暫定底標以不低於面額之102%發行
6944,兆聯實業一,69441,董事會決議,富邦證,13,未定,2026/08/06,暫定依票面金額之100%~105%發行
6944,兆聯實業二,69442,董事會決議,富邦證,12,未定,2026/08/06,暫定底標以不低於面額為限
6285,啟碁四,62854,董事會決議,凱基證,60,未定,2026/08/05,暫定依票面金額之100.5%~101%發行
6285,啟碁五,62855,董事會決議,凱基證,20,未定,2026/08/05,暫定底標以不低於面額之105%發行
6274,台燿六,62746,董事會決議,統一證,100,未定,2026/07/29,不低於票面金額之110%發行
3339,泰谷五,33395,董事會決議,永豐金證,5,未定,2026/07/14,底標以不低於面額之101%為限
2316,楠梓電一,23161,董事會決議,富邦證,35,未定,2026/06/26,依競價拍賣結果而定
5263,智崴六,52636,董事會決議,兆豐證,6,未定,2026/05/14,底標以不低於票面金額之101%發行
5386,青雲二,53862,董事會決議,中信證,6.5,未定,2026/05/06,依票面金額之101%發行
3149,正達四,31494,董事會決議,未定,6.5,未定,2025/11/22,不低於面額之100%；限制承作
8467,波力四-KY,84674,董事會決議,富邦證,2.1,未定,2025/11/13,底標以不低於票面金額之100.5%為限；限制承作
8467,波力五-KY,84675,董事會決議,富邦證,3.9,未定,2025/11/13,按票面金額之100.5%發行；無額度
2762,世界健身一-KY,27621,董事會決議,未定,5,未定,2025/11/12,依票面金額之100~101%發行；限制承作
2109,華豐二,21092,董事會決議,富邦證,10,未定,2025/05/12,未定；無額度
6692,進能服一,66921,董事會決議,元大證,2,未定,2025/05/09,依票面金額之100%~102%發行(綠色債券)；無額度
6807,峰源一KY,68071,董事會決議,永豐金證,6.5,未定,2025/03/13,依票面金額之101%發行；限制承做；取消發行
2466,冠西電四,24664,董事會決議,未定,3.5,未定,2024/12/05,底標以不低於面額為限
8038,長園科二,80382,董事會決議,未定,2,未定,2024/11/12,底標以不低於面額之101%為限
3581,博磊一,35811,董事會決議,未定,4,未定,2024/11/07,依票面金額之100%~101%發行；無額度
8114,振樺電三,81143,董事會決議,富邦證,8,未定,2024/09/27,暫定底標以100%~105%發行；限制承做
3576,聯合再生四,35764,董事會決議,元大證,18,未定,2024/05/06,新台幣壹拾萬元
