股票代號,CB名稱,CB代號,目前股價,CB轉換價,折價幅度,到期日,餘額比例(%),發行規模(億)
5439,高技一,54391,248.0,293.6,-15.53%,2030/09/09,99.99%,20
1466,聚隆四,14664,15.9,18.8,-15.43%,2028/06/20,100%,4
2303,聯電一,23031,123.5,146.0,-15.41%,2031/08/07,100%,120
6134,萬旭三,61343,28.65,33.8,-15.24%,2029/07/20,100%,3
6903,巨漢二,69032,313.5,369.8,-15.22%,2029/08/07,100%,10
3011,今皓二,30112,10.6,12.5,-15.2%,2029/03/26,100%,4.5
3028,增你強五,30285,66.3,78.0,-15.0%,2031/07/24,100%,5
2247,汎德永業二,22472,226.0,264.4,-14.52%,2028/06/30,99.94%,10
3687,歐買尬二,36872,63.2,73.9,-14.48%,2028/10/02,98.8%,4
3188,鑫龍騰二,31882,24.3,28.4,-14.44%,2028/06/20,85.7%,6
8299,群聯三,82993,2125.0,2468.8,-13.93%,2031/02/06,100%,60
2548,華固三,25483,96.0,111.5,-13.9%,2029/10/02,100%,40
2745,五福一,27451,89.3,103.6,-13.8%,2029/01/05,100%,3
8111,立碁四,81114,64.2,74.4,-13.71%,2029/04/28,100%,5
9939,宏全二,99392,133.0,153.7,-13.47%,2029/10/29,100.00%,40
1623,大東電一,16231,201.0,232.0,-13.36%,2029/07/16,100%,20
2548,華固四,25484,96.0,110.2,-12.89%,2029/10/18,100%,20
6533,晶心科一,65331,269.0,308.0,-12.66%,2028/09/08,100%,15
1102,遠東新E1永,140201,35.2,40.2,-12.44%,2029/08/08,99.99%,10
6803,崑鼎二,68032,268.5,306.2,-12.31%,2031/05/21,100%,20
2329,華泰一,23291,44.15,50.3,-12.23%,2029/03/18,100%,25
3583,辛耘三,35833,741.0,844.0,-12.2%,2029/07/30,100%,5
2906,高林一,29061,14.1,16.0,-11.88%,2026/09/20,46%,10
6584,南俊國際三,65843,604.0,685.0,-11.82%,2029/07/02,100%,8
6199,天品三,61993,92.3,104.6,-11.76%,2029/01/20,100%,2.5
5450,南良一,54501,15.1,17.1,-11.7%,2028/03/21,99.96%,5
5608,四維航七,56087,17.05,19.3,-11.66%,2027/12/17,100%,6
3095,及成四,30954,35.0,39.5,-11.39%,2028/02/25,100%,1.5
2427,三商電一,24271,22.7,25.6,-11.33%,2028/12/13,93.68%,5
6771,平和環保一創,67711,42.5,47.72,-10.94%,2028/05/08,100%,3.5
2034,允強四,20344,20.35,22.8,-10.75%,2029/10/02,100%,20
2753,八方雲集一,27531,179.0,199.3,-10.19%,2028/10/09,100%,8
4123,晟德七,41237,32.1,35.7,-10.08%,2028/04/27,62.98%,25
3390,旭軟二,33902,21.6,24.0,-10.0%,2028/02/21,100%,2
6184,大豐電三,61843,41.6,46.2,-9.96%,2027/03/06,87.1%,15
2732,六角四,27324,65.0,72.0,-9.72%,2028/12/08,100%,6
4572,駐龍一,45721,140.0,155.0,-9.68%,2027/07/16,94%,5
3591,艾笛森四,35914,22.2,24.5,-9.39%,2027/11/22,100%,3
2753,八方雲集二,27532,179.0,197.3,-9.28%,2028/10/20,100%,2
3284,太普高三,32843,21.3,23.41,-9.01%,2028/09/15,98.3%,2
2228,劍麟三,22283,73.7,80.91,-8.91%,2027/08/29,92.90%,3
4973,廣穎電通一,49731,155.0,169.6,-8.61%,2029/08/21,100%,5
4123,晟德六,41236,32.1,35.1,-8.55%,2028/04/26,90.89%,7
4739,康普三,47393,88.8,96.9,-8.36%,2026/10/28,99.17%,7
3617,碩天三,36173,251.5,274.3,-8.31%,2028/06/16,100%,15
6284,佳邦三,62843,78.2,85.0,-8.0%,2026/12/14,100%,7
8936,國統五,89365,51.1,55.0,-7.09%,2029/08/17,100%,6
9933,中鼎二,99332,42.0,45.2,-7.08%,2029/07/23,100.00%,60
1472,三洋實業三,14723,88.2,94.6,-6.77%,2028/06/17,100%,4
6472,保瑞四,64724,457.0,488.2,-6.39%,2031/04/01,100%,20
3303,岱稜五,33035,52.4,55.7,-5.92%,2029/11/26,100%,5
5284,jpp四KY,52844,328.0,348.5,-5.88%,2029/05/05,100%,2
6570,維田二,65702,52.7,55.73,-5.44%,2029/08/14,100%,2.5
4510,高鋒二,45102,45.9,48.41,-5.18%,2028/02/26,94.72%,9
1717,長興二,17172,71.9,75.7,-5.02%,2031/06/08,100%,20
8936,國統六,89366,51.1,53.8,-5.02%,2029/08/28,100%,6
8050,廣積六,80506,57.9,60.9,-4.93%,2027/11/22,47.36%,16
5321,美而快一,53211,81.1,85.3,-4.92%,2027/03/04,2.15%,2
3512,皇龍二,35122,19.5,20.5,-4.88%,2029/08/18,100%,6
6576,逸達一,65761,80.2,84.3,-4.86%,2029/03/25,100%,4
4168,醣聯四,41684,22.75,23.91,-4.85%,2028/09/18,100%,5
8092,建暐四,80924,13.8,14.5,-4.83%,2027/03/11,54.06%,1.7
8147,正淩三,81473,123.5,129.4,-4.56%,2027/10/03,99.6%,3
1472,三洋實業二,14722,88.2,91.9,-4.03%,2028/05/29,100%,3
5534,長虹四,55344,76.9,80.0,-3.87%,2031/03/11,100%,15
6472,保瑞五,64725,457.0,473.5,-3.48%,2031/04/15,100%,10
2641,正德八,26418,18.2,18.82,-3.29%,2030/08/06,92.08%,7.8
4581,光隆精密一KY,45811,48.55,50.2,-3.29%,2028/08/15,100%,5
3324,雙鴻六,33246,1075.0,1111.3,-3.27%,2031/03/02,100%,30
7631,聚賢研發一創,76311,146.0,150.8,-3.18%,2029/08/26,100%,4
6603,富強鑫四,66034,25.8,26.63,-3.12%,2029/05/04,100%,4
6101,寬魚國際二,61012,37.7,38.9,-3.08%,2029/01/30,71.16%,2.5
6629,泰金二KY,66292,112.0,115.5,-3.03%,2027/09/13,97.43%,3
8411,福貞三KY,84113,12.8,13.2,-3.03%,2030/08/01,100%,12
6869,雲豹能源二,68692,68.1,70.2,-2.99%,2029/07/24,100%,18
1514,亞力二,15142,102.0,105.1,-2.95%,2030/01/13,100%,12
3016,嘉晶六,30166,102.0,105.0,-2.86%,2029/08/18,100%,3.5
5309,系統電七,53097,53.2,54.6,-2.56%,2028/12/15,99.08%,5
8210,勤誠二,82102,974.0,997.3,-2.34%,2029/01/26,100%,8
3324,雙鴻七,33247,1075.0,1092.5,-1.6%,2031/03/16,100%,20
4190,佐登四KY,41904,25.95,26.1,-0.57%,2029/06/30,100%,5
6904,伯鑫一,69041,124.0,124.7,-0.56%,2028/12/26,100%,1.5
6821,聯寶一,68211,42.1,42.19,-0.21%,2028/08/15,41.5%,3
8210,勤誠三,82103,974.0,975.6,-0.16%,2029/02/03,100%,7
3149,正達四,31494,68.0,68.1,-0.15%,2029/08/31,100%,6.5
